user_id,sign_up_date,last_active_date,monthly_revenue,attributed_show_id
user_00001,2017-10-24,2017-12-24,10.53,
user_00002,2023-04-13,2023-12-13,17.79,
user_00003,2021-07-23,2021-10-23,21.31,
user_00004,2025-05-28,2025-12-28,9.72,
user_00005,2025-06-02,2025-07-02,7.38,
user_00006,2018-03-31,2018-10-31,15.13,
user_00007,2018-12-27,2019-08-27,8.56,
user_00008,2017-04-12,2017-09-12,14.44,
user_00009,2025-05-10,2025-10-10,7.33,
user_00010,2021-08-14,2021-12-14,25.43,
user_00011,2025-03-30,2025-06-30,13.3,
user_00012,2019-12-29,2020-05-29,9.16,
user_00013,2023-04-17,2023-07-17,6.6,
user_00014,2024-11-19,2025-05-19,11.24,
user_00015,2021-01-23,2021-08-23,9.16,
user_00016,2024-05-21,2024-12-21,15.45,
user_00017,2020-12-03,2021-05-03,13.23,
user_00018,2025-12-02,2027-01-02,6.33,
user_00019,2019-07-03,2020-02-03,11.08,
user_00020,2018-07-06,2019-05-06,15.12,
user_00021,2020-02-16,2020-03-16,8.38,
user_00022,2025-09-03,2026-05-03,22.14,
user_00023,2022-12-10,2023-09-10,13.8,
user_00024,2024-08-15,2025-02-15,34.43,
user_00025,2023-01-06,2023-08-06,13.19,
user_00026,2017-04-24,2017-11-24,34.0,
user_00027,2025-10-24,2026-04-24,10.77,
user_00028,2022-03-09,2022-11-09,10.73,
user_00029,2019-12-24,2020-05-24,8.1,
user_00030,2022-06-10,2022-08-10,27.73,
user_00031,2025-03-04,2025-06-04,40.52,
user_00032,2021-11-23,2022-04-23,11.8,
user_00033,2022-09-26,2022-12-26,8.94,
user_00034,2025-02-28,2025-09-28,15.44,
user_00035,2019-11-10,2020-07-10,15.36,
user_00036,2020-08-18,2021-04-18,22.11,
user_00037,2025-05-07,2026-06-07,12.29,
user_00038,2024-09-14,2024-10-14,9.65,
user_00039,2025-04-28,2025-10-28,6.61,
user_00040,2019-03-19,2019-11-19,9.34,
user_00041,2017-10-14,2018-07-14,7.74,
user_00042,2020-09-14,2020-12-14,26.94,
user_00043,2024-06-10,2024-09-10,11.32,
user_00044,2025-01-27,2025-07-27,16.07,
user_00045,2022-09-09,2023-01-09,7.6,
user_00046,2021-07-31,2022-02-28,12.39,
user_00047,2024-10-26,2025-05-26,13.55,
user_00048,2018-01-13,2018-12-13,10.41,
user_00049,2023-01-25,2023-05-25,6.19,
user_00050,2024-08-06,2025-04-06,15.5,
user_00051,2018-12-14,2019-06-14,16.31,
user_00052,2020-05-17,2020-08-17,23.97,
user_00053,2017-01-02,2017-05-02,11.86,
user_00054,2019-05-11,2019-11-11,9.14,
user_00055,2023-07-04,2024-02-04,12.61,
user_00056,2020-08-12,2021-01-12,10.79,
user_00057,2021-12-17,2022-07-17,45.13,
user_00058,2022-09-25,2023-04-25,19.99,
user_00059,2025-12-05,2026-04-05,9.57,
user_00060,2024-05-22,2024-10-22,13.34,
user_00061,2021-07-15,2022-02-15,13.91,
user_00062,2023-12-12,2024-06-12,6.19,
user_00063,2025-06-04,2026-01-04,13.46,
user_00064,2019-07-29,2019-12-29,9.67,
user_00065,2018-07-27,2018-10-27,33.01,
user_00066,2017-06-27,2017-11-27,13.73,
user_00067,2021-02-21,2021-07-21,17.23,
user_00068,2025-08-14,2025-12-14,18.21,
user_00069,2020-05-26,2020-08-26,51.7,
user_00070,2023-06-16,2024-02-16,7.73,
user_00071,2023-04-04,2023-10-04,10.34,
user_00072,2021-06-25,2022-02-25,6.53,
user_00073,2023-01-12,2023-06-12,7.09,
user_00074,2025-06-03,2026-03-03,14.6,
user_00075,2018-03-13,2018-10-13,11.47,
user_00076,2019-06-16,2019-12-16,41.57,
user_00077,2025-09-05,2025-11-05,16.08,
user_00078,2022-03-18,2022-05-18,31.08,
user_00079,2019-02-18,2019-12-18,10.42,
